node_id,lat,lon
139693,32.0938395,34.790572
139698,32.0938691,34.7912309
139707,32.0953536,34.7785001
139708,32.0950516,34.778329
139709,32.0945267,34.7788423
139712,32.0947565,34.7821942
139713,32.0946801,34.7816642
139714,32.0942069,34.7822513
139715,32.0941146,34.7817829
139716,32.0939146,34.7807336
139717,32.0931816,34.7805786
139718,32.0938446,34.7796079
139719,32.0927726,34.7814959
139723,32.0939672,34.7923929
1226802,32.0799132,34.7682237
1226807,32.0822308,34.7685633
1226818,32.0873819,34.7732365
1226869,32.0786427,34.796604
1226885,32.0731605,34.7922196
1227191,32.0474646,34.7889422
1227320,32.0735985,34.7817537
1227328,32.0794975,34.7812282
1227332,32.0797611,34.7730408
1228098,32.0718952,34.796244
1228100,32.0716362,34.7970797
1228104,32.0708982,34.7995111
1228134,32.0612839,34.8050327
1228338,32.0451757,34.809235
1228344,32.0469103,34.7994201
1228349,32.0476136,34.7947684
1329372,32.0735129,34.7847678
1329703,32.0704174,34.7938378
1329704,32.0724063,34.7945639
1329709,32.07178,34.7970507
1329714,32.0708253,34.800103
1329719,32.070227,34.8018852
1627528,32.0815271,34.7800379
1627531,32.0845097,34.7857291
1627549,32.0820683,34.796494
1627550,32.0823779,34.7968355
1627574,32.0780598,34.7675742
1627580,32.0762354,34.7768779
1627584,32.0757056,34.7842762
1627585,32.0755392,34.7815907
1627587,32.0826876,34.7688497
1627588,32.0842646,34.7695302
1627607,32.0567161,34.7850871
1627609,32.0522816,34.784161
1627615,32.0493076,34.785039
3358619,32.0858027,34.7951408
3358884,32.0898606,34.772268
3359271,32.0877504,34.7709647
17703736,32.079521,34.7937737
17703741,32.0710523,34.7999946
17703745,32.0733906,34.7986298
29944865,32.08228,34.7710877
29944869,32.0776242,34.768447
29944870,32.0895582,34.7738518
29944871,32.0924621,34.77468
29944872,32.094286,34.7752909
29944880,32.0881333,34.7822678
29944883,32.0918024,34.7829203
33388439,32.0797282,34.773839
33388440,32.0761911,34.7747785
33388443,32.0798832,34.767231
33388446,32.0737273,34.765002
33617427,32.0680732,34.7630167
33956079,32.055584,34.7825514
33956080,32.0547316,34.7823626
33956085,32.0542105,34.7863624
33961317,32.0364891,34.7691322
34132755,32.0714067,34.7808185
34132757,32.0720307,34.779401
34132762,32.0805686,34.7723556
34132764,32.0820311,34.7724882
34132766,32.0817933,34.7738076
34132812,32.0940772,34.8018358
34132842,32.1023027,34.8050412
34650800,32.0640203,34.7750397
34650802,32.0653718,34.7769018
34651077,32.0583194,34.7792095
34651078,32.0544417,34.7832859
34653719,32.0387726,34.7780787
35288611,32.086984,34.7749221
35288613,32.0892936,34.7754904
35288615,32.0923346,34.7762566
35288616,32.0924898,34.7762924
35288618,32.0916012,34.7828736
35288620,32.0940492,34.7834149
35288627,32.0856388,34.7894181
35288640,32.0837218,34.7892418
35288642,32.0922011,34.790664
